"","Value","Lower.Bd","Upper.Bd","Std.Error","T.Value","Pr...t..","X1L","Value.1","Lower.Bd.1","Upper.Bd.1","Std.Error.1","T.Value.1","Pr...t...1","X2L","Value.2","Lower.Bd.2","Upper.Bd.2","Std.Error.2","T.Value.2","Pr...t...2","X3L","Value.3","Lower.Bd.3","Upper.Bd.3","Std.Error.3","T.Value.3","Pr...t...3","X4L","Value.4","Lower.Bd.4","Upper.Bd.4","Std.Error.4","T.Value.4","Pr...t...4","X5L","Value.5","Lower.Bd.5","Upper.Bd.5","Std.Error.5","T.Value.5","Pr...t...5","X6L","Value.6","Lower.Bd.6","Upper.Bd.6","Std.Error.6","T.Value.6","Pr...t...6","X7L","Value.7","Lower.Bd.7","Upper.Bd.7","Std.Error.7","T.Value.7","Pr...t...7","X8L","Value.8","Lower.Bd.8","Upper.Bd.8","Std.Error.8","T.Value.8","Pr...t...8","X9L"
"(Intercept)",3.22111522055774,1.70469691285406,4.73753352826141,0.773697026917326,4.1632772370753,3.13712077564254e-05,1,3.0395070342949,1.4355882558147,4.6434258127751,0.818340944594752,3.71423066922318,0.000203822816056132,2,3.31102054194431,1.90811489783334,4.71392618605528,0.715781338420968,4.62574303662136,3.73257832597673e-06,3,3.45699061393996,2.12516012730041,4.78882110057951,0.679517836626011,5.08741702955856,3.6297309757849e-07,4,3.22322226859735,2.01263113747251,4.43381339972219,0.617659885933534,5.21844196458664,1.80434496455106e-07,5,3.48584235807893,2.30666122709562,4.66502348906224,0.601634081179317,5.79395760168043,6.87468215687659e-09,6,3.78018702624284,2.88173141992378,4.67864263256189,0.458404140793382,8.246406805358,2.22044604925031e-16,7,3.87185866011607,2.72833849166871,5.01537882856343,0.583439378206592,6.63626557401319,3.21729309860075e-11,8,3.8840636736583,3.33385805847469,4.4342692888419,0.280722308942184,13.8359636905745,0,9
"CreditScoreRangeLower_num",-0.00138332790994701,-0.00314229355899835,0.000375637739104339,0.000897447944414205,-1.54140183679395,0.123219017279638,1,-0.000844726662459126,-0.00308532395026189,0.00139587062534364,0.00114318288778585,-0.73892521615261,0.459952409418837,2,-0.000715140164641897,-0.00279622808304937,0.00136594775376558,0.00106179906101481,-0.673517420479168,0.500618169796418,3,-0.000515319630933096,-0.00233408228863254,0.00130344302676635,0.000927957182910305,-0.555326948725075,0.578671049260951,4,0.000157559256912749,-0.00154752718300514,0.00186264569683064,0.000869958046865859,0.18111132770181,0.856280193413123,5,7.60344849249866e-06,-0.00142642048864383,0.00144162738562883,0.00073165831027903,0.010392075625573,0.991708472544839,6,-0.000111445486322775,-0.000948659927371807,0.000725768954726257,0.000427158074154869,-0.26089987071711,0.794169724545371,7,-9.59643303319092e-05,-0.00146445020537109,0.00127252154470727,0.000698219909056299,-0.137441412207241,0.890681899410175,8,-8.52012214368521e-05,-0.000950635502812757,0.000780233059939053,0.000441556216441904,-0.192956679725654,0.846992895018591,9
"InquiriesLast6Months_num",0.00885035174891475,-0.0776320167029062,0.0953327202007357,0.0441244681708352,0.200576961395866,0.841029374103113,1,0.019761303750147,-0.0347132341159051,0.0742358416161992,0.0277936422790114,0.711000866736703,0.477083698704968,2,0.00967597786773413,-0.0409770388320181,0.0603289945674863,0.0258438507540428,0.374401553383854,0.708105587417803,3,0.00244156828278621,-0.0256859009855658,0.0305690375511382,0.0143510133299479,0.170132117269455,0.864906235772012,4,-0.00120093294883472,-0.0389162818654209,0.0365144159677515,0.0192428785498509,-0.062409215218168,0.950236956584233,5,0.0108171485504098,-0.0500308840257509,0.0716651811265705,0.0310454850477469,0.348429039964213,0.727517996522188,6,0.0190286380048725,-0.0366759431767377,0.0747332191864827,0.0284212269312094,0.669522046002073,0.503162522347723,7,0.0264320257820189,-0.0276498809705194,0.0805139325345571,0.0275933166012893,0.957914054477372,0.338106098795518,8,0.0208066176922135,-0.0395472180965246,0.0811604534809516,0.030793339196435,0.67568565914483,0.499240242949161,9
"ProsperRating__numeric",-0.0599810281250327,-0.11542231401136,-0.00453974223870496,0.0282868901284113,-2.12045325070174,0.0339678400199355,1,-0.0361032000633294,-0.0921957851529874,0.0199893850263285,0.0286191917464347,-1.26150313339394,0.207127631775816,2,-0.0713476885578668,-0.120099513418163,-0.0225958636975707,0.0248738370933569,-2.86838288319101,0.00412575913403024,3,-0.0962497293613885,-0.133259114357654,-0.0592403443651233,0.0188826862575999,-5.09724771403487,3.44627242521156e-07,4,-0.114140941637733,-0.14791587300688,-0.0803660102685864,0.0172324244912454,-6.62361478477508,3.50519613334654e-11,5,-0.0995595592834566,-0.164673537686372,-0.0344455808805416,0.0332220280150685,-2.9967935503004,0.00272835414733996,6,-0.106970236404224,-0.152504029268684,-0.0614364435397648,0.023231953864267,-4.60444425075908,4.13568783175222e-06,7,-0.0934846199284224,-0.13804067076364,-0.0489285690932046,0.0227330967235471,-4.11226948379586,3.91788591416198e-05,8,-0.0518805708507968,-0.0952234095226752,-0.00853773217891852,0.0221140995517066,-2.34604039515563,0.0189740509546339,9
"clu_ESNA_SE_R",0.0828919453161983,-0.297000066716961,0.462783957349358,0.193826016717501,0.427661604566803,0.668897507562991,1,0.00975816307645506,-0.233091328969336,0.252607655122246,0.123905078849079,0.0787551500478915,0.937227378265959,2,-0.0435971132528691,-0.234038839272692,0.146844612766954,0.0971659313752716,-0.448687236727959,0.653657293059647,3,-0.0581558651963571,-0.30683129474218,0.190519564349466,0.126877550560798,-0.45836213687377,0.646692289302571,4,-0.0422387506841344,-0.217152269631919,0.132674768263651,0.0892432311652054,-0.473299208608245,0.635999726665429,5,0.000599287249016263,-0.286591143682841,0.287789718180873,0.146528422561424,0.00408990446044723,0.996736737473458,6,-0.0413745540456994,-0.205981637054553,0.123232528963155,0.0839847488562309,-0.492643659821217,0.622264393050931,7,-0.0844153933352315,-0.276871360714214,0.108040574043751,0.0981936244222089,-0.859683037793428,0.389963787451831,8,-0.103369755096013,-0.325727843827115,0.118988333635089,0.113450089126655,-0.911147411974369,0.36221770808755,9
"clu_ESother",-0.136447642951484,-0.398561316154522,0.125666030251553,0.133733923312141,-1.02029193171137,0.307590028685793,1,0.016226506431824,-0.291684743785515,0.324137756649163,0.15710046339938,0.103287451104285,0.917734834917625,2,0.0305648696736155,-0.207340996338672,0.268470735685903,0.121382774320783,0.251805660602555,0.801191281749892,3,-0.00261129077313535,-0.179707625404322,0.174485043858051,0.0903569331008631,-0.0288997278185663,0.97694456270167,4,-0.0549859509365601,-0.23524811730424,0.12527621543112,0.0919721830551811,-0.597854145786339,0.549937258270877,5,-0.0307793776745367,-0.308615764735975,0.247057009386901,0.141755863502072,-0.2171294852582,0.828107436139789,6,-0.03874760981809,-0.210693556419939,0.133198336783759,0.0877291358199112,-0.441673219004806,0.658725691938067,7,-0.0929946523117118,-0.276860767228231,0.0908714626048078,0.0938109661028632,-0.991298311646676,0.321539937175368,8,-0.113912606256676,-0.21720064197239,-0.0106245705409632,0.0526989457614712,-2.16157277172629,0.0306511220967165,9
"IRb",-0.0592090230851982,-0.281119930006549,0.162701883836153,0.113221930949628,-0.5229465933728,0.601011419194973,1,-0.110580855235104,-0.226612041738853,0.00545033126864491,0.0592006727771471,-1.86789862424994,0.0617762026956967,2,-0.104804385463096,-0.320772159513665,0.111163388587474,0.110189664582664,-0.951127184750363,0.341539816294335,3,0.00254489706031083,-0.100199410039378,0.10528920416,0.0524215281046606,0.0485467927457187,0.961280473161349,4,0.0181098182019273,-0.0916210840948897,0.127840720498744,0.0559861829923205,0.323469421096477,0.74633976222849,5,0.0544558030021103,-0.0721183244176251,0.181029930421846,0.0645798231080449,0.843232458394991,0.399098448607902,6,0.0562557561388139,-0.0493343378168452,0.161845850094473,0.0538734868541159,1.04421969736522,0.296383755751707,7,0.0630244066317141,-0.0522702092438385,0.178319022507267,0.0588248645306658,1.07139059536396,0.28399383975291,8,-0.00295868508548453,-0.0879703387581403,0.0820529685871712,0.0433740896992072,-0.0682131914698975,0.945615926157016,9
"IRc",-0.00979799550315967,-0.73401979374364,0.71442380273732,0.369507707260465,-0.0265163494851086,0.978845493180846,1,0.340144138602386,-0.29129138442605,0.971579661630822,0.322166901029365,1.05580100722818,0.291059137973305,2,0.557242441960436,0.215506722328449,0.898978161592423,0.17435816286807,3.1959641739405,0.00139364415199794,3,0.760964110487609,0.44887379885499,1.07305442212023,0.159232676770771,4.77894440965204,1.76217903025133e-06,4,0.699082530186504,0.409791557908845,0.988373502464164,0.147600147022879,4.73632678752103,2.1762657407276e-06,5,0.579038195273692,0.350973066737494,0.80710332380989,0.116361897634419,4.97618384578851,6.48500577682398e-07,6,0.417102003425525,0.256395488633485,0.577808518217565,0.0819946264623598,5.08694315007336,3.63880850118292e-07,7,0.384079325383217,0.110701783067092,0.657456867699341,0.139480900910676,2.75363381563747,0.00589376706979428,8,0.325955818009165,0.0063330707310526,0.645578565287277,0.163075826800521,1.99879911329767,0.0456300937812073,9
"MonthlyLoanPayment_num",-0.000801030647068108,-0.00167175836809982,6.96970739636065e-05,0.000444257000587717,-1.80307940225682,0.0713757455052182,1,-0.000844701720223212,-0.0014794445715931,-0.000209958868853329,0.00032385434445564,-2.60827663634728,0.00909993794183017,2,-0.000565885491474461,-0.00175729347739188,0.000625522494442961,0.000607872387102568,-0.930928108400782,0.351890753465526,3,-0.000683767873917283,-0.00133880663301621,-2.87291148183575e-05,0.000334209589699499,-2.04592535639712,0.0407637151750149,4,-0.000465627210130066,-0.0010997403314706,0.000168485911210468,0.000323533047720436,-1.43919520250189,0.150095224285039,5,-0.000561363412866761,-0.00134689735590301,0.000224170530169484,0.000400789988608177,-1.40064230350715,0.161321063981142,6,-0.000383381661911569,-0.000845486416610279,7.87230927871422e-05,0.000235772064356148,-1.6260690720867,0.103934962448817,7,-0.00013292805067193,-0.00107107558483879,0.000805219483494926,0.000478655496512611,-0.277711321901487,0.781233968730987,8,-0.000129287803612381,-0.00134119215561696,0.00108261654839219,0.000618329908898287,-0.209091945500001,0.834376462301621,9
"LoanOriginalAmount_num",2.38805730188559e-05,8.10267621720721e-07,4.69508784159911e-05,1.17707802689798e-05,2.02880119016321,0.0424785440364395,1,1.27881582495998e-05,-4.9770111658475e-06,3.05533276650471e-05,9.06402850030749e-06,1.41086915703828,0.158283198043899,2,-8.25371139806058e-07,-2.59442577378265e-05,2.42935154582144e-05,1.28159939652744e-05,-0.0644016485995894,0.9486504173613,3,2.48584161346511e-06,-2.00276433505326e-05,2.49993265774628e-05,1.14866829909025e-05,0.216410744114198,0.828667592106076,4,-7.36883611390668e-06,-2.74347985432267e-05,1.26971263154133e-05,1.02379240575836e-05,-0.719758817555236,0.471673505090378,5,-8.52324254751341e-06,-3.29039487795738e-05,1.5857463684547e-05,1.2439364408924e-05,-0.685183122491278,0.493228372663582,6,-1.71768348767293e-05,-2.98049248724079e-05,-4.54874488105074e-06,6.44302145105082e-06,-2.66595959787281,0.00767689182858899,7,-2.77647833933202e-05,-5.51350463797867e-05,-3.94520406853634e-07,1.3964676495262e-05,-1.98821529469303,0.0467878841454914,8,-2.59133321578418e-05,-6.39443726260326e-05,1.2117708310349e-05,1.9403948627717e-05,-1.3354669534028,0.181723564169404,9
