M,p0,TAU,quantpred
0004363753221955965B646,1,7,0.25
001E3652350675777DB09A9,1,7,0.25
00273649210703292EB8570,1,0,0.95
0029363465540996065A52F,1,3,0.65
002E362825862155611E637,0,3,0.65
0038364851207507437AE49,0,4,0.55
004E3634210554736934DEF,1,2,0.75
005C3643683734703B2D347,1,4,0.55
005D36460825304664D7BC1,0,5,0.45
00863637856976412D7808B,1,3,0.65
008A366194593193999BEE4,0,5,0.45
00A936288694620999F399F,1,4,0.55
00BD3687321890129B6813F,1,3,0.65
00C236477557496903E7297,1,3,0.65
00C636495071877354A0F43,1,5,0.45
00CB365406197330833A161,1,4,0.55
00D1365255207626158717D,1,4,0.55
00EC3654216828797B8E0DC,1,9,0.05
00EE3642383205953E32020,1,4,0.55
011936265607733073DB123,1,7,0.25
011C3637559505329E81BB1,1,2,0.75
0124366085438411473522E,1,3,0.65
01303642449678257BC5551,1,3,0.65
014F362099362020678137C,0,3,0.65
01553623712108702A9A6B4,0,2,0.75
0164365078507765645A8EC,0,4,0.55
016B361246920907403111B,1,3,0.65
017A36622988290751354C2,1,1,0.85
018736399804976202E01F2,1,2,0.75
018E362146017229115A6FB,1,3,0.65
01B23672016177453819676,1,9,0.05
01B63670226597938E0C515,1,3,0.65
01BA3619204456172B46444,1,4,0.55
01FF366000985196980906B,1,2,0.75
020F3628626335738B72B7D,0,9,0.05
0217361242925275688BAA1,1,2,0.75
0219364596147369475C472,0,2,0.75
02373662053733884C00B31,1,2,0.75
02383667891594650A6EC6C,1,8,0.15
025C367048406029298F13E,1,2,0.75
026A36353776268184F0AF9,1,2,0.75
02863633585002800D19860,0,3,0.65
02873631924306271C1485A,1,3,0.65
02873666607918293C8299E,1,2,0.75
028E3665575123997A537E9,0,7,0.25
029B364955361140382B961,1,3,0.65
02B13645455467786DD4593,1,3,0.65
02D736279920582135829FC,1,3,0.65
02DF3612122005754B57BA1,1,3,0.65
02E93662211349601A2180E,1,3,0.65
02F83630433486296FD7393,0,3,0.65
033F3639977101710D91501,1,4,0.55
03433632573156656F6A55A,0,3,0.65
036D3673517945436EB02FE,1,4,0.55
038D36575734366154BDA96,1,4,0.55
03B836476405253355E7A2E,1,2,0.75
03BE3664052691769DCEEDE,1,3,0.65
03CE3619184124487537051,1,3,0.65
03D23670608050274779C8A,1,2,0.75
03D436364009628835E91EC,1,3,0.65
03D536481473679904BE945,1,5,0.45
03E93639940826295D14179,1,3,0.65
03FC36688895763564FF549,0,2,0.75
040636171591964064C5175,1,2,0.75
040F3622928840615DBF4BB,1,4,0.55
04133664445806224E58127,1,4,0.55
04243663515158140C6F020,1,6,0.35
042636520565708961F6E6D,1,6,0.35
04473656760451224C4D476,1,5,0.45
04503633896629403A23423,1,2,0.75
048236628567345358FA1EE,1,9,0.05
048B3623699445650EE33ED,1,3,0.65
04953650735698670E695BD,1,6,0.35
049F3668783305812F73AFF,1,2,0.75
04B5362197270221337005C,0,3,0.65
04B5363264873871859AAB8,1,3,0.65
04D136440361588332BF04D,1,6,0.35
04D836269058106390182E5,1,4,0.55
04F63650096284240163D6B,1,6,0.35
04F836706818959860DC21C,1,5,0.45
050A3645097221255E721A4,1,3,0.65
050A3645235495473CB87A9,1,3,0.65
050E36427738969770AC418,0,5,0.45
051D3628171438841E35387,1,2,0.75
05633630117233391DA2190,1,3,0.65
05733623185957239700CA2,0,3,0.65
05813613417464831D007AE,1,3,0.65
058C36854636131861E0D1D,1,3,0.65
058F3639603896895B472CB,1,3,0.65
05A7365546819208678A198,1,2,0.75
05AB3641035370975E2F074,1,5,0.45
05BE36576328964626DED22,1,3,0.65
05C236186772554957C7D31,1,1,0.85
05D236412586931040011F2,1,2,0.75
05DA36606968046409E62DA,1,3,0.65
05E836268850891181F05E1,1,2,0.75
05F336422568957738BB464,1,2,0.75
05FD36272137894518347D2,1,3,0.65
06083658098881083F741CA,1,2,0.75
06213624850141145EC7565,0,2,0.75
064036207850509611C8A6D,1,3,0.65
0651365252698426718F826,1,2,0.75
06573613768734070C46557,1,8,0.15
06633636540600661D41D5A,1,3,0.65
066836316951900353244C1,0,4,0.55
066936647059483764D77AF,1,3,0.65
06A4366474460847976D4D7,1,9,0.05
06A53653922087809E2FCDE,1,3,0.65
06DE361670940234795D145,1,3,0.65
06E33655444500486E07203,0,5,0.45
06EE3626111886245F6C478,1,3,0.65
070C3642527937608B13A37,1,3,0.65
073636351300559290B260A,1,4,0.55
07403647017201677BF8B6C,1,2,0.75
074C361861174069108C015,1,3,0.65
07503618116839116D308D8,1,2,0.75
075236630764207298DB8C4,1,2,0.75
0764363592983506136C08D,0,3,0.65
076C3653251946450053CBE,1,0,0.95
0778365905267888607215F,1,6,0.35
077A3635797118341AA0231,1,3,0.65
079536598821116012C386E,1,3,0.65
07A13622271235807DC0E62,1,4,0.55
07AB36637999232423188EA,1,3,0.65
07C536315940920521FE4B3,1,2,0.75
07F5365472964123126276E,1,2,0.75
080B36642662205175AE745,1,3,0.65
08173629603644305C06E9A,1,2,0.75
08273666333755469DAA572,0,2,0.75
08383632120461785C7B749,1,2,0.75
083D3647197594906C4A1B3,1,2,0.75
083F3624839230845BDEF5E,0,9,0.05
08513662871529888DB7B1E,1,4,0.55
08573635712074934141F27,0,3,0.65
085D3627513311274ACE4DC,1,3,0.65
086A36792734184426C5E83,1,3,0.65
086B3642996897929FCE0B8,1,2,0.75
08763651241155232ECE81D,1,2,0.75
089A3633632336821A56E9B,1,2,0.75
08B13623262450985BD081C,1,4,0.55
08B43659015251972E836C2,1,5,0.45
08CB3628704637991468133,1,3,0.65
08CD3642861436413E8C8CF,1,5,0.45
08D13645795152932F7992F,1,7,0.25
08D9365188870524006C9FF,1,4,0.55
08FB3629308893232AE3071,1,5,0.45
090036557928517785E4DFC,1,1,0.85
090E36424798285918DA444,0,6,0.35
091D3619070367429BE53B6,0,3,0.65
0921365007859271770F794,0,9,0.05
092E36197614996691B71F4,1,3,0.65
0950363468269629451BEF1,1,3,0.65
098E3651078235821BB8560,1,2,0.75
09933652512102486FEB3CD,1,6,0.35
09993642102382516539F93,1,3,0.65
0999365376060961596E3E1,0,3,0.65
09A8362465279816197CE92,1,3,0.65
09B936216724504656D1083,1,2,0.75
09C13636034654080A697AD,0,3,0.65
09D336606502556022C0DE4,1,5,0.45
09D63658573150272D13016,1,3,0.65
09DD3612131789526F7826C,1,4,0.55
09E3365128737355391A9EC,1,4,0.55
09F83614384655726186574,1,3,0.65
0A0B36625599034812F588D,1,4,0.55
0A0D3654209707865ED4C0E,1,4,0.55
0A293644895377587913A1B,1,2,0.75
0A2F3636614908131BDF243,0,1,0.85
0A303655030185784AABE01,1,7,0.25
0A34365167074380093A03E,1,3,0.65
0A393658209907372DD04A7,1,3,0.65
0A3F366609387969782AC0A,1,6,0.35
0A4636519655854964406D7,1,3,0.65
0A47369946949578569B2E3,1,6,0.35
0A4A3645606588188BE6888,1,2,0.75
0A8F3641895193150B04DA1,1,3,0.65
0A923646461000441358C4F,1,4,0.55
0A9F3631542433462A1F305,0,2,0.75
0AA136569562170107490A9,1,4,0.55
0AA636338920895635AF4B5,1,3,0.65
0ABF36712905248954E3FFD,1,3,0.65
0AFE36384694520601073C8,1,3,0.65
0B1436326672068711E2AF9,1,3,0.65
0B273619853051453A15A79,1,2,0.75
0B2E3636440540414EC7936,1,3,0.65
0B3336274881622641CB762,1,4,0.55
0B3636441121521592C3DFE,1,9,0.05
0B4836374105523632CF491,1,3,0.65
0B48365123487899279B2E3,1,6,0.35
0B933638108572940C0CCFD,1,2,0.75
0B953626175603484982373,0,6,0.35
0B9C3627386949258A69ECD,1,4,0.55
0B9F3648394124281A1D8D8,1,3,0.65
0BDF36183297496283E65BE,0,3,0.65
0BDF3662888796965B22437,1,5,0.45
0BE5366079064192446D017,1,2,0.75
0BF43642082080417136FBC,1,4,0.55
0C013636400259748BE71BB,1,3,0.65
0C2A3612721810843FF253D,1,2,0.75
0C2D36554106095588BBC91,1,6,0.35
0C343639049565446321D52,1,2,0.75
0C403652904146391615FB0,1,3,0.65
0C5236151538996331F0D86,1,3,0.65
0C5836504729397169382ED,1,2,0.75
0C723631098506295728E8A,1,2,0.75
0C793648389011688E63D8C,1,2,0.75
0CE73618985528466CDD967,1,3,0.65
0D103619528506031DFF771,1,3,0.65
0D1C3654472466907D48F08,1,3,0.65
0D253684964728298D3F8D6,1,6,0.35
0D3036553177006292F74B6,1,2,0.75
0D393632957189084EC25B0,0,2,0.75
0D3A3632107065186993548,0,3,0.65
0D3B36571613239592469B8,1,4,0.55
0D7336337570524274F19F2,1,3,0.65
0D8336332288213169BDB65,1,4,0.55
0D90364349321493846C320,1,2,0.75
0D9D367606575187419B71A,1,3,0.65
0DB736647964611632E2AA3,1,4,0.55
0DC03650590680525864FB6,0,7,0.25
0DDA36381985949433F8618,1,2,0.75
0DDF3675621224806F13409,0,4,0.55
0DE13648002478694F7582D,0,3,0.65
0DE336414498647762B38EA,1,3,0.65
0DF73634147348372692389,0,3,0.65
0E013650280219170D2D4D1,1,4,0.55
0E0A3629900453750416FA7,1,3,0.65
0E113623482897700DEFBFA,1,2,0.75
0E45365153687134759F873,1,2,0.75
0E5136477908736855D2B96,1,4,0.55
0E5836200991098350F3F34,1,4,0.55
0E6E36184549421740D7165,1,7,0.25
0E70365503480704831E939,1,2,0.75
0E773624915334492006B5A,1,2,0.75
0E7A365673803691029B02F,1,3,0.65
0E953651810429157B3BE0F,1,3,0.65
0EA43664485083264A3BE35,1,0,0.95
0EAC36494071980754A2C1C,0,2,0.75
0EAF36580172157463D212A,1,2,0.75
0EBE36383085826708BCB50,1,2,0.75
0EDB366464527263798C835,1,3,0.65
0F1836267543828364C1E5C,0,3,0.65
0F273637672123715C914F4,1,3,0.65
0F2C3614492963063841EAE,1,2,0.75
0F2E3622330174578C30FD2,0,2,0.75
0F393619615557016E552D5,0,3,0.65
0F5C366471692131307F942,1,4,0.55
0F6E3634226023918660AD1,1,2,0.75
0F8136733645133291D1006,1,2,0.75
0F843634763355237F502BB,1,3,0.65
0FA83641466624750B274FB,1,2,0.75
0FB836503355908502C3B95,1,3,0.65
0FBA361579595475703FE46,1,3,0.65
0FBD3651644583094D21BA9,0,4,0.55
0FC43650758066980B932B4,1,5,0.45
0FC6364977657483702E014,1,3,0.65
