M,p0,TAU,quantpred
000B3366346245964D6187E,0,5,0.45
00193564075967640E1A9A1,0,3,0.65
002E362825862155611E637,0,1,0.85
003334259602770471958FF,1,3,0.65
0038364851207507437AE49,0,2,0.75
004E3381838563573A42B75,1,4,0.55
004E3634210554736934DEF,1,1,0.85
005C3643683734703B2D347,1,2,0.75
00703430732191332582531,0,4,0.55
00863637856976412D7808B,1,1,0.85
008E358759950191193CFA0,1,4,0.55
00AA33925789277867DB61F,0,4,0.55
00BB340562930814003E061,1,2,0.75
00C636495071877354A0F43,1,2,0.75
00CB365406197330833A161,1,1,0.85
00D2342893260329479726B,1,2,0.75
00EC3654216828797B8E0DC,1,4,0.55
011936265607733073DB123,1,3,0.65
011C3637559505329E81BB1,1,1,0.85
01523403022166760AD9734,0,4,0.55
015E3397131841499E8219B,1,4,0.55
01613399817222249F46074,1,1,0.85
0164365078507765645A8EC,0,2,0.75
016B3430547822806DBB393,1,2,0.75
016B361246920907403111B,1,3,0.65
0182358283719070586622D,1,3,0.65
018736399804976202E01F2,1,1,0.85
01943426330151831C4100F,0,2,0.75
01A13411850243208F1EB9C,1,4,0.55
01B23672016177453819676,1,3,0.65
01BD337755195279919DE84,1,4,0.55
01BF3405057768890335C54,0,3,0.65
01C73366374488670745586,0,4,0.55
01E7337155035610856D791,0,6,0.35
01EA3391139381525B6782C,0,5,0.45
0209338975977412055F2CD,0,4,0.55
02123606251693311C10885,0,1,0.85
0219364596147369475C472,0,3,0.65
022435878187292675B5768,0,3,0.65
023A33673167698722C1A39,0,5,0.45
025133762229289084F6EBA,0,3,0.65
02543386605721153614320,1,5,0.45
02633602365597501103197,1,2,0.75
02773388558918085D0ACDC,0,5,0.45
02813370004853680352555,1,4,0.55
028633826565448957BCB77,0,6,0.35
02873631924306271C1485A,1,2,0.75
028A3416041014351C14451,0,3,0.65
028E3665575123997A537E9,0,2,0.75
02983390257442127ABA7F5,1,4,0.55
029B364955361140382B961,1,1,0.85
02D736279920582135829FC,1,1,0.85
02E93662211349601A2180E,1,2,0.75
02F4340042651395765C6A1,1,7,0.25
031B3415632295138189ACE,0,3,0.65
033F3639977101710D91501,1,1,0.85
035D34203145921156EF4D1,0,4,0.55
036833644774579726D9709,0,5,0.45
036D3673517945436EB02FE,1,2,0.75
03753394080301390E3FD29,0,4,0.55
03763382668731341CBEFDB,0,5,0.45
037633874710487393FD216,0,4,0.55
03883383798121700ED105C,0,5,0.45
038D36575734366154BDA96,1,1,0.85
038F33747375750020926BF,0,5,0.45
03943389950396321D20F78,0,5,0.45
03C43405817485543D420F9,1,3,0.65
03C83406832648376BBE5EF,0,5,0.45
03F43374390625341EE91FC,1,3,0.65
03FC36688895763564FF549,0,1,0.85
04133664445806224E58127,1,2,0.75
04193394000880208506549,0,2,0.75
041B339261798179125C325,0,5,0.45
04213387883642991FB5EFC,1,4,0.55
04243365392411935BF9226,0,6,0.35
04363381771459964BFDCAA,0,3,0.65
04393378487513739FDB711,0,5,0.45
043A339367943292540ECBF,0,3,0.65
048236628567345358FA1EE,1,3,0.65
04953650735698670E695BD,1,2,0.75
049B3366444689599BCDCA8,0,5,0.45
04A7337219242993189C8D9,1,3,0.65
04BD34109676851866F107D,1,4,0.55
050A342261179893395E6CB,0,2,0.75
050A3645235495473CB87A9,1,1,0.85
05103383305574684FDC3F0,1,5,0.45
051C3401699619280D0A9FF,1,4,0.55
051F33870679828321AC5FB,0,6,0.35
053D3388832995149AAC268,0,5,0.45
053D3411582311951C872D9,1,4,0.55
054533644011673494BF3A7,1,4,0.55
055B3372468074723CFDE34,0,5,0.45
0565341143573726618FFD1,1,4,0.55
05883389425450264D6A302,0,4,0.55
058C36854636131861E0D1D,1,1,0.85
05933434423682052CBC4A2,0,4,0.55
05AB3581402323182608D5F,1,2,0.75
